    57:ba-c   P c a m       -P 2c 2ac         POC$I1A000$P2C006$P2A606 
    57:cab    P m c a       -P 2ac 2a         POC$I1A000$P2C606$P2A600 
    57:-cba   P m a b       -P 2b 2a          POC$I1A000$P2C060$P2A600 
    57:bca    P b m a       -P 2a 2ab         POC$I1A000$P2C600$P2A660 
    57:a-cb   P c m b       -P 2bc 2c         POC$I1A000$P2C066$P2A006 
    58        P n n m       -P 2 2n           POC$I1A000$P2C000$P2A666 
    58:cab    P m n n       -P 2n 2           POC$I1A000$P2C666$P2A000 
    58:bca    P n m n       -P 2n 2n          POC$I1A000$P2C666$P2A666 
    59:1      P m m n:1      P 2 2ab -1ab     POC$I1A660$P2C000$P2A660 
    59:2      P m m n:2     -P 2ab 2a         POC$I1A000$P2C660$P2A600 
    59:1cab   P n m m:1      P 2bc 2 -1bc     POC$I1A066$P2C066$P2A000 
    59:2cab   P n m m:2     -P 2c 2bc         POC$I1A000$P2C006$P2A066 
    59:1bca   P m n m:1      P 2ac 2ac -1ac   POC$I1A606$P2C606$P2A606 
    59:2bca   P m n m:2     -P 2c 2a          POC$I1A000$P2C006$P2A600 
    60        P b c n       -P 2n 2ab         POC$I1A000$P2C666$P2A660 
    60:ba-c   P c a n       -P 2n 2c          POC$I1A000$P2C666$P2A006 
    60:cab    P n c a       -P 2a 2n          POC$I1A000$P2C600$P2A666 
    60:-cba   P n a b       -P 2bc 2n         POC$I1A000$P2C066$P2A666 
    60:bca    P b n a       -P 2ac 2b         POC$I1A000$P2C606$P2A060 
    60:a-cb   P c n b       -P 2b 2ac         POC$I1A000$P2C060$P2A606 
    61        P b c a       -P 2ac 2ab        POC$I1A000$P2C606$P2A660 
    61:ba-c   P c a b       -P 2bc 2ac        POC$I1A000$P2C066$P2A606 
    62        P n m a       -P 2ac 2n         POC$I1A000$P2C606$P2A666 
    62:ba-c   P m n b       -P 2bc 2a         POC$I1A000$P2C066$P2A600 
    62:cab    P b n m       -P 2c 2ab         POC$I1A000$P2C006$P2A660 
    62:-cba   P c m n       -P 2n 2ac         POC$I1A000$P2C666$P2A606 
    62:bca    P m c n       -P 2n 2a          POC$I1A000$P2C666$P2A600 
    62:a-cb   P n a m       -P 2c 2n          POC$I1A000$P2C006$P2A666 
    63        C m c m       -C 2c 2           COC$I1A000$P2C006$P2A000 
    63:ba-c   C c m m       -C 2c 2c          COC$I1A000$P2C006$P2A006 
    63:cab    A m m a       -A 2a 2a          AOC$I1A000$P2C600$P2A600 
    63:-cba   A m a m       -A 2 2a           AOC$I1A000$P2C000$P2A600 
    63:bca    B b m m       -B 2 2b           BOC$I1A000$P2C000$P2A060 
    63:a-cb   B m m b       -B 2b 2           BOC$I1A000$P2C060$P2A000 
    64        C m c a       -C 2bc 2          COC$I1A000$P2C066$P2A000 
    64:ba-c   C c m b       -C 2bc 2bc        COC$I1A000$P2C066$P2A066 
    64:cab    A b m a       -A 2ac 2ac        AOC$I1A000$P2C606$P2A606 
